yourlist:M202005078BC4D7ADE02784B0C2481C7F3DE0963A1A0CE37	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q06141	Q06141	REG3A_HUMAN	reviewed	Regenerating islet-derived protein 3-alpha (REG-3-alpha) (Hepatointestinal pancreatic protein) (HIP/PAP) (Human proislet peptide) (Pancreatitis-associated protein 1) (Regenerating islet-derived protein III-alpha) (Reg III-alpha) [Cleaved into: Regenerating islet-derived protein 3-alpha 16.5 kDa form; Regenerating islet-derived protein 3-alpha 15 kDa form]	REG3A HIP PAP PAP1	Homo sapiens (Human)	175
A8KA83	A8KA83	A8KA83_HUMAN	unreviewed	Epididymis secretory sperm binding protein (cDNA FLJ78586, highly similar to Homo sapiens VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa (VAPA), mRNA) (cDNA, FLJ96653, Homo sapiens VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa (VAPA), mRNA)		Homo sapiens (Human)	242
Q07866	Q07866	KLC1_HUMAN	reviewed	Kinesin light chain 1 (KLC 1)	KLC1 KLC KNS2	Homo sapiens (Human)	573
Q08722	Q08722	CD47_HUMAN	reviewed	Leukocyte surface antigen CD47 (Antigenic surface determinant protein OA3) (Integrin-associated protein) (IAP) (Protein MER6) (CD antigen CD47)	CD47 MER6	Homo sapiens (Human)	323
Q08AM8	Q08AM8	Q08AM8_HUMAN	unreviewed	SH3 domain containing ring finger 2	SH3RF2	Homo sapiens (Human)	729
Q09FC8	Q09FC8	ZN415_HUMAN	reviewed	Zinc finger protein 415	ZNF415	Homo sapiens (Human)	603
Q0IIN1	Q0IIN1	Q0IIN1_HUMAN	unreviewed	Keratin 77	KRT77	Homo sapiens (Human)	578
Q0P5P2	Q0P5P2	CQ067_HUMAN	reviewed	Uncharacterized protein C17orf67	C17orf67	Homo sapiens (Human)	90
Q0P5Q0	Q0P5Q0	Q0P5Q0_HUMAN	unreviewed	TMSB4X protein (Fragment)	TMSB4X	Homo sapiens (Human)	69
Q0VAF8	Q0VAF8	Q0VAF8_HUMAN	unreviewed	LOC729862 protein	LOC729862	Homo sapiens (Human)	129
Q0VAF9	Q0VAF9	Q0VAF9_HUMAN	unreviewed	LOC729862 protein	LOC729862	Homo sapiens (Human)	96
Q0VAL7	Q0VAL7	Q0VAL7_HUMAN	unreviewed	C21orf58 protein	C21orf58	Homo sapiens (Human)	162
Q0VDC6	Q0VDC6	Q0VDC6_HUMAN	unreviewed	Peptidylprolyl isomerase (EC 5.2.1.8)	FKBP1A	Homo sapiens (Human)	145
Q0VG75	Q0VG75	Q0VG75_HUMAN	unreviewed	Exportin 4	XPO4	Homo sapiens (Human)	1124
Q12765	Q12765	SCRN1_HUMAN	reviewed	Secernin-1	SCRN1 KIAA0193	Homo sapiens (Human)	414
Q12789	Q12789	TF3C1_HUMAN	reviewed	General transcription factor 3C polypeptide 1 (TF3C-alpha) (TFIIIC box B-binding subunit) (Transcription factor IIIC 220 kDa subunit) (TFIIIC 220 kDa subunit) (TFIIIC220) (Transcription factor IIIC subunit alpha)	GTF3C1	Homo sapiens (Human)	2109
Q12882	Q12882	DPYD_HUMAN	reviewed	Dihydropyrimidine dehydrogenase [NADP(+)] (DHPDHase) (DPD) (EC 1.3.1.2) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase)	DPYD	Homo sapiens (Human)	1025
Q12891	Q12891	HYAL2_HUMAN	reviewed	Hyaluronidase-2 (Hyal-2) (EC 3.2.1.35) (Hyaluronoglucosaminidase-2) (Lung carcinoma protein 2) (LuCa-2)	HYAL2 LUCA2	Homo sapiens (Human)	473
Q13011	Q13011	ECH1_HUMAN	reviewed	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)	ECH1	Homo sapiens (Human)	328
Q13057	Q13057	COASY_HUMAN	reviewed	Bifunctional coenzyme A synthase (CoA synthase) (NBP) (POV-2) [Includes: Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT); Dephospho-CoA kinase (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase) (DPCOAK)]	COASY PSEC0106	Homo sapiens (Human)	564
Q13126	Q13126	MTAP_HUMAN	reviewed	S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase)	MTAP MSAP	Homo sapiens (Human)	283
O94818	O94818	NOL4_HUMAN	reviewed	Nucleolar protein 4 (Nucleolar-localized protein)	NOL4 NOLP HRIHFB2255	Homo sapiens (Human)	638
Q13394	Q13394	MB211_HUMAN	reviewed	Putative nucleotidyltransferase MAB21L1 (EC 2.7.7.-) (Protein mab-21-like 1)	MAB21L1 CAGR1 Nbla00126	Homo sapiens (Human)	359
Q13409	Q13409	DC1I2_HUMAN	reviewed	Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)	DYNC1I2 DNCI2 DNCIC2	Homo sapiens (Human)	638
D3DTR7	D3DTR7	D3DTR7_HUMAN	unreviewed	Rho guanine nucleotide exchange factor (GEF) 15, isoform CRA_a	ARHGEF15 hCG_31280	Homo sapiens (Human)	841
Q13588	Q13588	GRAP_HUMAN	reviewed	GRB2-related adapter protein	GRAP	Homo sapiens (Human)	217
Q13889	Q13889	TF2H3_HUMAN	reviewed	General transcription factor IIH subunit 3 (Basic transcription factor 2 34 kDa subunit) (BTF2 p34) (General transcription factor IIH polypeptide 3) (TFIIH basal transcription factor complex p34 subunit)	GTF2H3	Homo sapiens (Human)	308
A4D1L5	A4D1L5	A4D1L5_HUMAN	unreviewed	Ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast) (Ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast), isoform CRA_b) (Ubiquitin-conjugating enzyme E2H isoform 1) (Ubiquitin-conjugating enzyme E2H isoform A)	UBE2H hCG_18056 tcag7.352	Homo sapiens (Human)	183
Q13956	Q13956	CNCG_HUMAN	reviewed	Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma (GMP-PDE gamma) (EC 3.1.4.35)	PDE6H	Homo sapiens (Human)	83
Q14416	Q14416	GRM2_HUMAN	reviewed	Metabotropic glutamate receptor 2 (mGluR2)	GRM2 GPRC1B MGLUR2	Homo sapiens (Human)	872
Q14435	Q14435	GALT3_HUMAN	reviewed	Polypeptide N-acetylgalactosaminyltransferase 3 (EC 2.4.1.41) (Polypeptide GalNAc transferase 3) (GalNAc-T3) (pp-GaNTase 3) (Protein-UDP acetylgalactosaminyltransferase 3) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 3)	GALNT3	Homo sapiens (Human)	633
Q14746	Q14746	COG2_HUMAN	reviewed	Conserved oligomeric Golgi complex subunit 2 (COG complex subunit 2) (Component of oligomeric Golgi complex 2) (Low density lipoprotein receptor defect C-complementing protein)	COG2 LDLC	Homo sapiens (Human)	738
P43115	P43115	PE2R3_HUMAN	reviewed	Prostaglandin E2 receptor EP3 subtype (PGE receptor EP3 subtype) (PGE2 receptor EP3 subtype) (PGE2-R) (Prostanoid EP3 receptor)	PTGER3	Homo sapiens (Human)	390
Q14929	Q14929	ZN169_HUMAN	reviewed	Zinc finger protein 169	ZNF169	Homo sapiens (Human)	603
Q14990	Q14990	ODFP1_HUMAN	reviewed	Outer dense fiber protein 1 (Heat shock protein beta-10) (HspB10)	ODF1 HSPB10 ODFP	Homo sapiens (Human)	250
Q14997	Q14997	PSME4_HUMAN	reviewed	Proteasome activator complex subunit 4 (Proteasome activator PA200)	PSME4 KIAA0077	Homo sapiens (Human)	1843
Q149N8	Q149N8	SHPRH_HUMAN	reviewed	E3 ubiquitin-protein ligase SHPRH (EC 2.3.2.27) (EC 3.6.4.-) (RING-type E3 ubiquitin transferase SHPRH) (SNF2, histone-linker, PHD and RING finger domain-containing helicase)	SHPRH KIAA2023	Homo sapiens (Human)	1683
Q14C61	Q14C61	Q14C61_HUMAN	unreviewed	ZNF264 protein (Zinc finger protein 264) (Zinc finger protein 264, isoform CRA_a)	ZNF264 hCG_1754547	Homo sapiens (Human)	627
Q14CN4	Q14CN4	K2C72_HUMAN	reviewed	Keratin, type II cytoskeletal 72 (Cytokeratin-72) (CK-72) (Keratin-72) (K72) (Type II inner root sheath-specific keratin-K6irs2) (Type-II keratin Kb35)	KRT72 K6IRS2 KB35 KRT6 KRT6IRS2	Homo sapiens (Human)	511
Q14CZ0	Q14CZ0	CP072_HUMAN	reviewed	UPF0472 protein C16orf72	C16orf72	Homo sapiens (Human)	275
Q14CZ7	Q14CZ7	FAKD3_HUMAN	reviewed	FAST kinase domain-containing protein 3, mitochondrial	FASTKD3	Homo sapiens (Human)	662
Q15257	Q15257	PTPA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A activator (EC 5.2.1.8) (PP2A, subunit B', PR53 isoform) (Phosphotyrosyl phosphatase activator) (PTPA) (Serine/threonine-protein phosphatase 2A regulatory subunit 4) (Serine/threonine-protein phosphatase 2A regulatory subunit B')	PTPA PPP2R4	Homo sapiens (Human)	358
Q15398	Q15398	DLGP5_HUMAN	reviewed	Disks large-associated protein 5 (DAP-5) (Discs large homolog 7) (Disks large-associated protein DLG7) (Hepatoma up-regulated protein) (HURP)	DLGAP5 DLG7 KIAA0008	Homo sapiens (Human)	846
Q15582	Q15582	BGH3_HUMAN	reviewed	Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (Kerato-epithelin) (RGD-containing collagen-associated protein) (RGD-CAP)	TGFBI BIGH3	Homo sapiens (Human)	683
Q15746	Q15746	MYLK_HUMAN	reviewed	Myosin light chain kinase, smooth muscle (MLCK) (smMLCK) (EC 2.7.11.18) (Kinase-related protein) (KRP) (Telokin) [Cleaved into: Myosin light chain kinase, smooth muscle, deglutamylated form]	MYLK MLCK MLCK1 MYLK1	Homo sapiens (Human)	1914
Q15772	Q15772	SPEG_HUMAN	reviewed	Striated muscle preferentially expressed protein kinase (EC 2.7.11.1) (Aortic preferentially expressed protein 1) (APEG-1)	SPEG APEG1 KIAA1297	Homo sapiens (Human)	3267
Q15777	Q15777	MPPD2_HUMAN	reviewed	Metallophosphoesterase MPPED2 (EC 3.1.-.-) (Fetal brain protein 239) (239FB) (Metallophosphoesterase domain-containing protein 2)	MPPED2 C11orf8 FAM1B	Homo sapiens (Human)	294
Q15836	Q15836	VAMP3_HUMAN	reviewed	Vesicle-associated membrane protein 3 (VAMP-3) (Cellubrevin) (CEB) (Synaptobrevin-3)	VAMP3 SYB3	Homo sapiens (Human)	100
Q15853	Q15853	USF2_HUMAN	reviewed	Upstream stimulatory factor 2 (Class B basic helix-loop-helix protein 12) (bHLHb12) (FOS-interacting protein) (FIP) (Major late transcription factor 2) (Upstream transcription factor 2)	USF2 BHLHB12	Homo sapiens (Human)	346
Q15910	Q15910	EZH2_HUMAN	reviewed	Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356) (ENX-1) (Enhancer of zeste homolog 2) (Lysine N-methyltransferase 6)	EZH2 KMT6	Homo sapiens (Human)	746
Q15937	Q15937	ZNF79_HUMAN	reviewed	Zinc finger protein 79 (ZNFpT7)	ZNF79	Homo sapiens (Human)	498
Q16384	Q16384	SSX1_HUMAN	reviewed	Protein SSX1 (Cancer/testis antigen 5.1) (CT5.1) (Synovial sarcoma, X breakpoint 1)	SSX1	Homo sapiens (Human)	188
Q16514	Q16514	TAF12_HUMAN	reviewed	Transcription initiation factor TFIID subunit 12 (Transcription initiation factor TFIID 20/15 kDa subunits) (TAFII-20/TAFII-15) (TAFII20/TAFII15)	TAF12 TAF15 TAF2J TAFII20	Homo sapiens (Human)	161
Q16552	Q16552	IL17_HUMAN	reviewed	Interleukin-17A (IL-17) (IL-17A) (Cytotoxic T-lymphocyte-associated antigen 8) (CTLA-8)	IL17A CTLA8 IL17	Homo sapiens (Human)	155
Q16625	Q16625	OCLN_HUMAN	reviewed	Occludin	OCLN	Homo sapiens (Human)	522
Q6FGS1	Q6FGS1	Q6FGS1_HUMAN	unreviewed	TPD52L2 protein (Tumor protein D52-like 2, isoform CRA_a) (cDNA, FLJ95317, highly similar to Homo sapiens tumor protein D52-like 2 (TPD52L2), mRNA)	TPD52L2 hCG_22755	Homo sapiens (Human)	206
Q9Y3B7	Q9Y3B7	RM11_HUMAN	reviewed	39S ribosomal protein L11, mitochondrial (L11mt) (MRP-L11) (Mitochondrial large ribosomal subunit protein uL11m)	MRPL11 CGI-113	Homo sapiens (Human)	192
A8K2R3	A8K2R3	A8K2R3_HUMAN	unreviewed	cDNA FLJ75083, highly similar to Homo sapiens amine oxidase (flavin containing) domain 2 (AOF2),mRNA		Homo sapiens (Human)	730
Q9UFD9	Q9UFD9	RIM3A_HUMAN	reviewed	RIMS-binding protein 3A (RIM-BP3.A) (RIMS-binding protein 3.1) (RIM-BP3.1)	RIMBP3 KIAA1666 RIMBP3A	Homo sapiens (Human)	1639
Q92610	Q92610	ZN592_HUMAN	reviewed	Zinc finger protein 592	ZNF592 KIAA0211	Homo sapiens (Human)	1267
Q9Y4E8	Q9Y4E8	UBP15_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 15 (EC 3.4.19.12) (Deubiquitinating enzyme 15) (Ubiquitin thioesterase 15) (Ubiquitin-specific-processing protease 15) (Unph-2) (Unph4)	USP15 KIAA0529	Homo sapiens (Human)	981
A8K7B7	A8K7B7	A8K7B7_HUMAN	unreviewed	Protein phosphatase 2 (Formerly 2A), regulatory subunit A (PR 65), alpha isoform (Testicular secretory protein Li 1) (cDNA FLJ78455, highly similar to Homo sapiens protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform (PPP2R1A), mRNA) (cDNA, FLJ96799, Homo sapiens protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform (PPP2R1A), mRNA)	PPP2R1A hCG_19686	Homo sapiens (Human)	589
Q9Y547	Q9Y547	IFT25_HUMAN	reviewed	Intraflagellar transport protein 25 homolog (Heat shock protein beta-11) (Hspb11) (Placental protein 25) (PP25)	HSPB11 C1orf41 IFT25 HSPC034	Homo sapiens (Human)	144
Q9P0L1	Q9P0L1	ZKSC7_HUMAN	reviewed	Zinc finger protein with KRAB and SCAN domains 7 (Zinc finger protein 167) (Zinc finger protein 448) (Zinc finger protein 64)	ZKSCAN7 ZNF167 ZNF448 ZNF64	Homo sapiens (Human)	754
Q9H972	Q9H972	CN093_HUMAN	reviewed	Uncharacterized protein C14orf93	C14orf93	Homo sapiens (Human)	538
Q9UHG0	Q9UHG0	DCDC2_HUMAN	reviewed	Doublecortin domain-containing protein 2 (Protein RU2S)	DCDC2 KIAA1154 RU2	Homo sapiens (Human)	476
V9HW26	V9HW26	V9HW26_HUMAN	unreviewed	ATP synthase subunit alpha	HEL-S-123m hCG_23783	Homo sapiens (Human)	553
Q6DHZ2	Q6DHZ2	Q6DHZ2_HUMAN	unreviewed	Protein kinase, cAMP-dependent, regulatory, type II, beta	PRKAR2B	Homo sapiens (Human)	418
Q9NPA5,Q9NTW7	Q9NTW7	ZF64B_HUMAN	reviewed	Zinc finger protein 64 (Zfp-64) (Zinc finger protein 338)	ZFP64 ZNF338	Homo sapiens (Human)	645
P04053	P04053	TDT_HUMAN	reviewed	DNA nucleotidylexotransferase (EC 2.7.7.31) (Terminal addition enzyme) (Terminal deoxynucleotidyltransferase) (Terminal transferase)	DNTT TDT	Homo sapiens (Human)	509
P07093	P07093	GDN_HUMAN	reviewed	Glia-derived nexin (GDN) (Peptidase inhibitor 7) (PI-7) (Protease nexin 1) (PN-1) (Protease nexin I) (Serpin E2)	SERPINE2 PI7 PN1	Homo sapiens (Human)	398
P07498	P07498	CASK_HUMAN	reviewed	Kappa-casein	CSN3 CASK CSN10 CSNK	Homo sapiens (Human)	182
P08254	P08254	MMP3_HUMAN	reviewed	Stromelysin-1 (SL-1) (EC 3.4.24.17) (Matrix metalloproteinase-3) (MMP-3) (Transin-1)	MMP3 STMY1	Homo sapiens (Human)	477
P08311	P08311	CATG_HUMAN	reviewed	Cathepsin G (CG) (EC 3.4.21.20)	CTSG	Homo sapiens (Human)	255
P09430	P09430	STP1_HUMAN	reviewed	Spermatid nuclear transition protein 1 (STP-1) (TP-1)	TNP1	Homo sapiens (Human)	55
P09565	P09565	IG2R_HUMAN	reviewed	Putative insulin-like growth factor 2-associated protein (Cell growth-inhibiting gene 44 protein) (Insulin-like growth factor II-associated protein)	GIG44 PP9974	Homo sapiens (Human)	113
P09603	P09603	CSF1_HUMAN	reviewed	Macrophage colony-stimulating factor 1 (CSF-1) (M-CSF) (MCSF) (Lanimostim) [Cleaved into: Processed macrophage colony-stimulating factor 1]	CSF1	Homo sapiens (Human)	554
P09923	P09923	PPBI_HUMAN	reviewed	Intestinal-type alkaline phosphatase (IAP) (Intestinal alkaline phosphatase) (EC 3.1.3.1)	ALPI	Homo sapiens (Human)	528
P0CL82	P0CL82	GG12I_HUMAN	reviewed	G antigen 12I (GAGE-12I)	GAGE12I	Homo sapiens (Human)	117
P0CW20	P0CW20	LIMS4_HUMAN	reviewed	LIM and senescent cell antigen-like-containing domain protein 4 (LIM and senescent cell antigen-like-containing domain protein 3-like)	LIMS4 LIMS3L	Homo sapiens (Human)	117
P0DMM9	P0DMM9	ST1A3_HUMAN	reviewed	Sulfotransferase 1A3 (ST1A3) (EC 2.8.2.1) (Aryl sulfotransferase 1A3/1A4) (Catecholamine-sulfating phenol sulfotransferase) (HAST3) (M-PST) (Monoamine-sulfating phenol sulfotransferase) (Placental estrogen sulfotransferase) (Sulfotransferase 1A3/1A4) (Sulfotransferase, monoamine-preferring) (Thermolabile phenol sulfotransferase) (TL-PST)	SULT1A3 STM	Homo sapiens (Human)	295
P11836	P11836	CD20_HUMAN	reviewed	B-lymphocyte antigen CD20 (B-lymphocyte surface antigen B1) (Bp35) (Leukocyte surface antigen Leu-16) (Membrane-spanning 4-domains subfamily A member 1) (CD antigen CD20)	MS4A1 CD20	Homo sapiens (Human)	297
P12318	P12318	FCG2A_HUMAN	reviewed	Low affinity immunoglobulin gamma Fc region receptor II-a (IgG Fc receptor II-a) (CDw32) (Fc-gamma RII-a) (Fc-gamma-RIIa) (FcRII-a) (CD antigen CD32)	FCGR2A CD32 FCG2 FCGR2A1 IGFR2	Homo sapiens (Human)	317
P13284	P13284	GILT_HUMAN	reviewed	Gamma-interferon-inducible lysosomal thiol reductase (EC 1.8.-.-) (Gamma-interferon-inducible protein IP-30) (Legumaturain)	IFI30 GILT IP30	Homo sapiens (Human)	250
P14621	P14621	ACYP2_HUMAN	reviewed	Acylphosphatase-2 (EC 3.6.1.7) (Acylphosphatase, muscle type isozyme) (Acylphosphate phosphohydrolase 2)	ACYP2 ACYP	Homo sapiens (Human)	99
P16860	P16860	ANFB_HUMAN	reviewed	Natriuretic peptides B (Gamma-brain natriuretic peptide) [Cleaved into: Brain natriuretic peptide 32 (BNP(1-32)) (BNP-32); BNP(1-30); BNP(1-29); BNP(1-28); BNP(2-31); BNP(3-32); BNP(3-30); BNP(3-29); BNP(4-32); BNP(4-31); BNP(4-30); BNP(4-29); BNP(4-27); BNP(5-32); BNP(5-31); BNP(5-29)]	NPPB	Homo sapiens (Human)	134
P16930	P16930	FAAA_HUMAN	reviewed	Fumarylacetoacetase (FAA) (EC 3.7.1.2) (Beta-diketonase) (Fumarylacetoacetate hydrolase)	FAH	Homo sapiens (Human)	419
P17031	P17031	ZNF26_HUMAN	reviewed	Zinc finger protein 26 (Zinc finger protein KOX20)	ZNF26 KOX20	Homo sapiens (Human)	533
P06734	P06734	FCER2_HUMAN	reviewed	Low affinity immunoglobulin epsilon Fc receptor (BLAST-2) (C-type lectin domain family 4 member J) (Fc-epsilon-RII) (Immunoglobulin E-binding factor) (Lymphocyte IgE receptor) (CD antigen CD23) [Cleaved into: Low affinity immunoglobulin epsilon Fc receptor membrane-bound form; Low affinity immunoglobulin epsilon Fc receptor soluble form]	FCER2 CD23A CLEC4J FCE2 IGEBF	Homo sapiens (Human)	321
P18545	P18545	CNRG_HUMAN	reviewed	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma (GMP-PDE gamma) (EC 3.1.4.35)	PDE6G PDEG	Homo sapiens (Human)	87
P19113	P19113	DCHS_HUMAN	reviewed	Histidine decarboxylase (HDC) (EC 4.1.1.22)	HDC	Homo sapiens (Human)	662
P22352	P22352	GPX3_HUMAN	reviewed	Glutathione peroxidase 3 (GPx-3) (GSHPx-3) (EC 1.11.1.9) (Extracellular glutathione peroxidase) (Plasma glutathione peroxidase) (GPx-P) (GSHPx-P)	GPX3 GPXP	Homo sapiens (Human)	226
P23763	P23763	VAMP1_HUMAN	reviewed	Vesicle-associated membrane protein 1 (VAMP-1) (Synaptobrevin-1)	VAMP1 SYB1	Homo sapiens (Human)	118
O14880	O14880	MGST3_HUMAN	reviewed	Microsomal glutathione S-transferase 3 (Microsomal GST-3) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20) (Microsomal glutathione S-transferase III) (Microsomal GST-III)	MGST3	Homo sapiens (Human)	152
P28566	P28566	5HT1E_HUMAN	reviewed	5-hydroxytryptamine receptor 1E (5-HT-1E) (5-HT1E) (S31) (Serotonin receptor 1E)	HTR1E	Homo sapiens (Human)	365
P35452	P35452	HXD12_HUMAN	reviewed	Homeobox protein Hox-D12 (Homeobox protein Hox-4H)	HOXD12 HOX4H	Homo sapiens (Human)	270
P35611	P35611	ADDA_HUMAN	reviewed	Alpha-adducin (Erythrocyte adducin subunit alpha)	ADD1 ADDA	Homo sapiens (Human)	737
P40121	P40121	CAPG_HUMAN	reviewed	Macrophage-capping protein (Actin regulatory protein CAP-G)	CAPG AFCP MCP	Homo sapiens (Human)	348
P41271	P41271	NBL1_HUMAN	reviewed	Neuroblastoma suppressor of tumorigenicity 1 (DAN domain family member 1) (Protein N03) (Zinc finger protein DAN)	NBL1 DAN DAND1	Homo sapiens (Human)	181
P43362	P43362	MAGA9_HUMAN	reviewed	Melanoma-associated antigen 9 (Cancer/testis antigen 1.9) (CT1.9) (MAGE-9 antigen)	MAGEA9 MAGE9 MAGEA9A; MAGEA9B	Homo sapiens (Human)	315
A2RU48	A2RU48	SMCO3_HUMAN	reviewed	Single-pass membrane and coiled-coil domain-containing protein 3	SMCO3 C12orf69	Homo sapiens (Human)	225
P04733	P04733	MT1F_HUMAN	reviewed	Metallothionein-1F (MT-1F) (Metallothionein-IF) (MT-IF)	MT1F PRO0376	Homo sapiens (Human)	61
P46087	P46087	NOP2_HUMAN	reviewed	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase (EC 2.1.1.-) (Nucleolar protein 1) (Nucleolar protein 2 homolog) (Proliferating-cell nucleolar antigen p120) (Proliferation-associated nucleolar protein p120)	NOP2 NOL1 NSUN1	Homo sapiens (Human)	812
P48230	P48230	T4S4_HUMAN	reviewed	Transmembrane 4 L6 family member 4 (Intestine and liver tetraspan membrane protein) (IL-TMP)	TM4SF4 ILTMP	Homo sapiens (Human)	202
P16389	P16389	KCNA2_HUMAN	reviewed	Potassium voltage-gated channel subfamily A member 2 (NGK1) (Voltage-gated K(+) channel HuKIV) (Voltage-gated potassium channel HBK5) (Voltage-gated potassium channel subunit Kv1.2)	KCNA2	Homo sapiens (Human)	499
P49411	P49411	EFTU_HUMAN	reviewed	Elongation factor Tu, mitochondrial (EF-Tu) (P43)	TUFM	Homo sapiens (Human)	452
P49638	P49638	TTPA_HUMAN	reviewed	Alpha-tocopherol transfer protein (Alpha-TTP)	TTPA TPP1	Homo sapiens (Human)	278
D3DU92	D3DU92	D3DU92_HUMAN	unreviewed	RNA binding protein S1 (RNA binding protein S1, serine-rich domain, isoform CRA_a)	RNPS1 rnps1 hCG_1989969	Homo sapiens (Human)	305
P29728	P29728	OAS2_HUMAN	reviewed	2'-5'-oligoadenylate synthase 2 ((2-5')oligo(A) synthase 2) (2-5A synthase 2) (EC 2.7.7.84) (p69 OAS / p71 OAS) (p69OAS / p71OAS)	OAS2	Homo sapiens (Human)	719
P50151	P50151	GBG10_HUMAN	reviewed	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10	GNG10 GNGT10	Homo sapiens (Human)	68
P50226	P50226	ST1A2_HUMAN	reviewed	Sulfotransferase 1A2 (ST1A2) (EC 2.8.2.1) (Aryl sulfotransferase 2) (Phenol sulfotransferase 2) (Phenol-sulfating phenol sulfotransferase 2) (P-PST 2)	SULT1A2 STP2	Homo sapiens (Human)	295
O75356	O75356	ENTP5_HUMAN	reviewed	Ectonucleoside triphosphate diphosphohydrolase 5 (NTPDase 5) (EC 3.6.1.6) (CD39 antigen-like 4) (ER-UDPase) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (EC 3.6.1.42) (Nucleoside diphosphatase) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5)	ENTPD5 CD39L4 PCPH	Homo sapiens (Human)	428
P50583	P50583	AP4A_HUMAN	reviewed	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] (EC 3.6.1.17) (Diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase) (Ap4A hydrolase) (Ap4Aase) (Diadenosine tetraphosphatase) (Nucleoside diphosphate-linked moiety X motif 2) (Nudix motif 2)	NUDT2 APAH1	Homo sapiens (Human)	147
P52797	P52797	EFNA3_HUMAN	reviewed	Ephrin-A3 (EFL-2) (EHK1 ligand) (EHK1-L) (EPH-related receptor tyrosine kinase ligand 3) (LERK-3)	EFNA3 EFL2 EPLG3 LERK3	Homo sapiens (Human)	238
P53004	P53004	BIEA_HUMAN	reviewed	Biliverdin reductase A (BVR A) (EC 1.3.1.24) (Biliverdin-IX alpha-reductase)	BLVRA BLVR BVR	Homo sapiens (Human)	296
P53801	P53801	PTTG_HUMAN	reviewed	Pituitary tumor-transforming gene 1 protein-interacting protein (Pituitary tumor-transforming gene protein-binding factor) (PBF) (PTTG-binding factor)	PTTG1IP C21orf1 C21orf3	Homo sapiens (Human)	180
P54886	P54886	P5CS_HUMAN	reviewed	Delta-1-pyrroline-5-carboxylate synthase (P5CS) (Aldehyde dehydrogenase family 18 member A1) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]	ALDH18A1 GSAS P5CS PYCS	Homo sapiens (Human)	795
F1D8N6	F1D8N6	F1D8N6_HUMAN	unreviewed	Nuclear receptor related 1 (Nuclear receptor subfamily 4 group A member 2 isoform 1)	NR4A2	Homo sapiens (Human)	598
P55851	P55851	UCP2_HUMAN	reviewed	Mitochondrial uncoupling protein 2 (UCP 2) (Solute carrier family 25 member 8) (UCPH)	UCP2 SLC25A8	Homo sapiens (Human)	309
P56748	P56748	CLD8_HUMAN	reviewed	Claudin-8	CLDN8 UNQ779/PRO1573	Homo sapiens (Human)	225
P56851	P56851	EP3B_HUMAN	reviewed	Epididymal secretory protein E3-beta (Human epididymis-specific protein 3-beta) (HE3-beta)	EDDM3B FAM12B HE3B UNQ6412/PRO21187	Homo sapiens (Human)	147
P57739	P57739	CLD2_HUMAN	reviewed	Claudin-2 (SP82)	CLDN2 PSEC0059 SP82 UNQ705/PRO1356	Homo sapiens (Human)	230
P57771	P57771	RGS8_HUMAN	reviewed	Regulator of G-protein signaling 8 (RGS8)	RGS8	Homo sapiens (Human)	180
