yourlist:M20200510216DA2B77BFBD2E6699CA9B6D1C41EB286EFE0C	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q16589-2	Q16589	CCNG2_HUMAN	reviewed	Cyclin-G2	CCNG2	Homo sapiens (Human)	344
Q6NXT2	Q6NXT2	H3C_HUMAN	reviewed	Histone H3.3C (Histone H3.5)	H3-5 H3F3C	Homo sapiens (Human)	135
C9K0J8	C9K0J8	C9K0J8_HUMAN	unreviewed	Zinc finger and SCAN domain-containing protein 29	ZSCAN29	Homo sapiens (Human)	556
P49768-2	P49768	PSN1_HUMAN	reviewed	Presenilin-1 (PS-1) (EC 3.4.23.-) (Protein S182) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)]	PSEN1 AD3 PS1 PSNL1	Homo sapiens (Human)	467
P08887-1	P08887	IL6RA_HUMAN	reviewed	Interleukin-6 receptor subunit alpha (IL-6 receptor subunit alpha) (IL-6R subunit alpha) (IL-6R-alpha) (IL-6RA) (IL-6R 1) (Membrane glycoprotein 80) (gp80) (CD antigen CD126)	IL6R	Homo sapiens (Human)	468
P22749-1	P22749	GNLY_HUMAN	reviewed	Granulysin (Lymphokine LAG-2) (Protein NKG5) (T-cell activation protein 519)	GNLY LAG2 NKG5 TLA519	Homo sapiens (Human)	145
O15072	O15072	ATS3_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 3 (ADAM-TS 3) (ADAM-TS3) (ADAMTS-3) (EC 3.4.24.-) (Procollagen II N-proteinase) (PC II-NP) (Procollagen II amino propeptide-processing enzyme)	ADAMTS3 KIAA0366	Homo sapiens (Human)	1205
Q9Y272-1	Q9Y272	RASD1_HUMAN	reviewed	Dexamethasone-induced Ras-related protein 1 (Activator of G-protein signaling 1)	RASD1 AGS1 DEXRAS1	Homo sapiens (Human)	281
O94856-3	O94856	NFASC_HUMAN	reviewed	Neurofascin	NFASC KIAA0756	Homo sapiens (Human)	1347
Q96T37-3	Q96T37	RBM15_HUMAN	reviewed	RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15)	RBM15 OTT OTT1	Homo sapiens (Human)	977
P16333-1	P16333	NCK1_HUMAN	reviewed	Cytoplasmic protein NCK1 (NCK adaptor protein 1) (Nck-1) (SH2/SH3 adaptor protein NCK-alpha)	NCK1 NCK	Homo sapiens (Human)	377
Q5I0X4	Q5I0X4	CF226_HUMAN	reviewed	Uncharacterized protein C6orf226	C6orf226	Homo sapiens (Human)	101
P48637-1	P48637	GSHB_HUMAN	reviewed	Glutathione synthetase (GSH synthetase) (GSH-S) (EC 6.3.2.3) (Glutathione synthase)	GSS	Homo sapiens (Human)	474
O75880	O75880	SCO1_HUMAN	reviewed	Protein SCO1 homolog, mitochondrial	SCO1 SCOD1	Homo sapiens (Human)	301
O43763	O43763	TLX2_HUMAN	reviewed	T-cell leukemia homeobox protein 2 (Homeobox protein Hox-11L1) (Neural crest homeobox protein)	TLX2 HOX11L1 NCX	Homo sapiens (Human)	284
Q92692-2	Q92692	NECT2_HUMAN	reviewed	Nectin-2 (Herpes virus entry mediator B) (Herpesvirus entry mediator B) (HveB) (Nectin cell adhesion molecule 2) (Poliovirus receptor-related protein 2) (CD antigen CD112)	NECTIN2 HVEB PRR2 PVRL2	Homo sapiens (Human)	538
Q96GA7	Q96GA7	SDSL_HUMAN	reviewed	Serine dehydratase-like (L-serine deaminase) (L-serine dehydratase/L-threonine deaminase) (L-threonine dehydratase) (TDH) (EC 4.3.1.19) (Serine dehydratase 2) (SDH 2) (EC 4.3.1.17)	SDSL	Homo sapiens (Human)	329
P67812-1	P67812	SC11A_HUMAN	reviewed	Signal peptidase complex catalytic subunit SEC11A (EC 3.4.21.89) (Endopeptidase SP18) (Microsomal signal peptidase 18 kDa subunit) (SPase 18 kDa subunit) (SEC11 homolog A) (SEC11-like protein 1) (SPC18)	SEC11A SEC11L1 SPC18 SPCS4A	Homo sapiens (Human)	179
P0CH99	P0CH99	Z705D_HUMAN	reviewed	Zinc finger protein 705D	ZNF705D	Homo sapiens (Human)	300
Q9NZH5-2	Q9NZH5	PTTG2_HUMAN	reviewed	Securin-2 (Pituitary tumor-transforming gene 2 protein)	PTTG2	Homo sapiens (Human)	202
D6RGH6	D6RGH6	MCIN_HUMAN	reviewed	Multicilin (Multiciliate differentiation and DNA synthesis-associated cell cycle protein) (McIdas protein) (Protein Idas)	MCIDAS IDAS MCI MCIN	Homo sapiens (Human)	385
Q9BS18	Q9BS18	APC13_HUMAN	reviewed	Anaphase-promoting complex subunit 13 (APC13) (Cyclosome subunit 13)	ANAPC13	Homo sapiens (Human)	74
P49863	P49863	GRAK_HUMAN	reviewed	Granzyme K (EC 3.4.21.-) (Fragmentin-3) (Granzyme-3) (NK-tryptase-2) (NK-Tryp-2)	GZMK TRYP2	Homo sapiens (Human)	264
P12757-1	P12757	SKIL_HUMAN	reviewed	Ski-like protein (Ski-related oncogene) (Ski-related protein)	SKIL SNO	Homo sapiens (Human)	684
P63173	P63173	RL38_HUMAN	reviewed	60S ribosomal protein L38 (Large ribosomal subunit protein eL38)	RPL38	Homo sapiens (Human)	70
Q3B7S5	Q3B7S5	SMI21_HUMAN	reviewed	Small integral membrane protein 21	SMIM21 C18orf62	Homo sapiens (Human)	101
Q9NYG5-2	Q9NYG5	APC11_HUMAN	reviewed	Anaphase-promoting complex subunit 11 (APC11) (Cyclosome subunit 11) (Hepatocellular carcinoma-associated RING finger protein)	ANAPC11 HSPC214	Homo sapiens (Human)	84
B5MCM0	B5MCM0	B5MCM0_HUMAN	unreviewed	Transcriptional enhancer factor TEF-5	TEAD3	Homo sapiens (Human)	156
Q9H0C5-1	Q9H0C5	BTBD1_HUMAN	reviewed	BTB/POZ domain-containing protein 1 (Hepatitis C virus NS5A-transactivated protein 8) (HCV NS5A-transactivated protein 8)	BTBD1 C15orf1 NS5ATP8	Homo sapiens (Human)	482
Q68EA5	Q68EA5	ZNF57_HUMAN	reviewed	Zinc finger protein 57 (Zinc finger protein 424)	ZNF57 ZNF424	Homo sapiens (Human)	555
Q9H871-1	Q9H871	RMD5A_HUMAN	reviewed	E3 ubiquitin-protein transferase RMND5A (EC 2.3.2.27) (P44CTLH) (Protein RMD5 homolog A)	RMND5A	Homo sapiens (Human)	391
Q04900-1	Q04900	MUC24_HUMAN	reviewed	Sialomucin core protein 24 (MUC-24) (Endolyn) (Multi-glycosylated core protein 24) (MGC-24) (MGC-24v) (CD antigen CD164)	CD164	Homo sapiens (Human)	197
Q14CZ0	Q14CZ0	CP072_HUMAN	reviewed	UPF0472 protein C16orf72	C16orf72	Homo sapiens (Human)	275
Q6BCY4-2	Q6BCY4	NB5R2_HUMAN	reviewed	NADH-cytochrome b5 reductase 2 (b5R.2) (EC 1.6.2.2)	CYB5R2	Homo sapiens (Human)	276
Q495A1-1	Q495A1	TIGIT_HUMAN	reviewed	T-cell immunoreceptor with Ig and ITIM domains (V-set and immunoglobulin domain-containing protein 9) (V-set and transmembrane domain-containing protein 3)	TIGIT VSIG9 VSTM3	Homo sapiens (Human)	244
Q8IYT4-2	Q8IYT4	KATL2_HUMAN	reviewed	Katanin p60 ATPase-containing subunit A-like 2 (Katanin p60 subunit A-like 2) (EC 5.6.1.1) (p60 katanin-like 2)	KATNAL2	Homo sapiens (Human)	538
Q99828-1	Q99828	CIB1_HUMAN	reviewed	Calcium and integrin-binding protein 1 (CIB) (Calcium- and integrin-binding protein) (CIBP) (Calmyrin) (DNA-PKcs-interacting protein) (Kinase-interacting protein) (KIP) (SNK-interacting protein 2-28) (SIP2-28)	CIB1 CIB KIP PRKDCIP	Homo sapiens (Human)	191
P26640-1	P26640	SYVC_HUMAN	reviewed	Valine--tRNA ligase (EC 6.1.1.9) (Protein G7a) (Valyl-tRNA synthetase) (ValRS)	VARS1 G7A VARS VARS2	Homo sapiens (Human)	1264
Q96E35	Q96E35	ZMY19_HUMAN	reviewed	Zinc finger MYND domain-containing protein 19 (Melanin-concentrating hormone receptor 1-interacting zinc finger protein) (MCH-R1-interacting zinc finger protein)	ZMYND19 MIZIP	Homo sapiens (Human)	227
Q6UWU4-2	Q6UWU4	CF089_HUMAN	reviewed	Bombesin receptor-activated protein C6orf89 (Amfion)	C6orf89 BRAP UNQ177/PRO203	Homo sapiens (Human)	347
Q99728-1	Q99728	BARD1_HUMAN	reviewed	BRCA1-associated RING domain protein 1 (BARD-1) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BARD1)	BARD1	Homo sapiens (Human)	777
Q02790	Q02790	FKBP4_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (51 kDa FK506-binding protein) (FKBP51) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (59 kDa immunophilin) (p59) (FK506-binding protein 4) (FKBP-4) (FKBP59) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]	FKBP4 FKBP52	Homo sapiens (Human)	459
Q96KT7	Q96KT7	S35G5_HUMAN	reviewed	Solute carrier family 35 member G5 (Acyl-malonyl-condensing enzyme 1-like protein 2)	SLC35G5 AMAC AMAC1L2	Homo sapiens (Human)	338
P17931	P17931	LEG3_HUMAN	reviewed	Galectin-3 (Gal-3) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Galactose-specific lectin 3) (Galactoside-binding protein) (GALBP) (IgE-binding protein) (L-31) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen)	LGALS3 MAC2	Homo sapiens (Human)	250
O43598-1	O43598	DNPH1_HUMAN	reviewed	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 (EC 3.2.2.-) (c-Myc-responsive protein RCL)	DNPH1 C6orf108 RCL	Homo sapiens (Human)	174
O14879	O14879	IFIT3_HUMAN	reviewed	Interferon-induced protein with tetratricopeptide repeats 3 (IFIT-3) (CIG49) (ISG-60) (Interferon-induced 60 kDa protein) (IFI-60K) (Interferon-induced protein with tetratricopeptide repeats 4) (IFIT-4) (Retinoic acid-induced gene G protein) (P60) (RIG-G)	IFIT3 CIG-49 IFI60 IFIT4 ISG60	Homo sapiens (Human)	490
Q96P16-3	Q96P16	RPR1A_HUMAN	reviewed	Regulation of nuclear pre-mRNA domain-containing protein 1A (Cyclin-dependent kinase inhibitor 2B-related protein) (p15INK4B-related protein)	RPRD1A P15RS	Homo sapiens (Human)	312
Q12905	Q12905	ILF2_HUMAN	reviewed	Interleukin enhancer-binding factor 2 (Nuclear factor of activated T-cells 45 kDa)	ILF2 NF45 PRO3063	Homo sapiens (Human)	390
P61106	P61106	RAB14_HUMAN	reviewed	Ras-related protein Rab-14	RAB14	Homo sapiens (Human)	215
Q8NCL9	Q8NCL9	APCDL_HUMAN	reviewed	Protein APCDD1-like (Adenomatosis polyposis coli down-regulated 1 protein-like)	APCDD1L	Homo sapiens (Human)	501
Q9Y385	Q9Y385	UB2J1_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 J1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J1) (Non-canonical ubiquitin-conjugating enzyme 1) (NCUBE-1) (Yeast ubiquitin-conjugating enzyme UBC6 homolog E) (HsUBC6e)	UBE2J1 NCUBE1 CGI-76 HSPC153 HSPC205	Homo sapiens (Human)	318
Q14296-1	Q14296	FASTK_HUMAN	reviewed	Fas-activated serine/threonine kinase (FAST kinase) (EC 2.7.11.8)	FASTK	Homo sapiens (Human)	549
Q75WM6	Q75WM6	H1FNT_HUMAN	reviewed	Testis-specific H1 histone (Haploid germ cell-specific nuclear protein 1) (Histone H1.7) (Histone H1t2)	H1-7 H1FNT HANP1	Homo sapiens (Human)	255
Q8N339	Q8N339	MT1M_HUMAN	reviewed	Metallothionein-1M (MT-1M) (Metallothionein-IM) (MT-IM)	MT1M MT1K	Homo sapiens (Human)	61
Q06547-1	Q06547	GABP1_HUMAN	reviewed	GA-binding protein subunit beta-1 (GABP subunit beta-1) (GABPB-1) (GABP subunit beta-2) (GABPB-2) (Nuclear respiratory factor 2) (Transcription factor E4TF1-47) (Transcription factor E4TF1-53)	GABPB1 E4TF1B GABPB GABPB2	Homo sapiens (Human)	395
Q92538-1	Q92538	GBF1_HUMAN	reviewed	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 (BFA-resistant GEF 1)	GBF1 KIAA0248	Homo sapiens (Human)	1859
Q9BRL7-1	Q9BRL7	SC22C_HUMAN	reviewed	Vesicle-trafficking protein SEC22c (SEC22 vesicle-trafficking protein homolog C) (SEC22 vesicle-trafficking protein-like 3)	SEC22C SEC22L3 UNQ459/PRO784	Homo sapiens (Human)	303
Q8TAP9	Q8TAP9	MPLKI_HUMAN	reviewed	M-phase-specific PLK1-interacting protein (TTD non-photosensitive 1 protein)	MPLKIP C7orf11 TTDN1	Homo sapiens (Human)	179
Q96GD3-1	Q96GD3	SCMH1_HUMAN	reviewed	Polycomb protein SCMH1 (Sex comb on midleg homolog 1)	SCMH1	Homo sapiens (Human)	660
Q6PI25	Q6PI25	CNIH2_HUMAN	reviewed	Protein cornichon homolog 2 (CNIH-2) (Cornichon family AMPA receptor auxiliary protein 2) (Cornichon-like protein)	CNIH2 CNIL	Homo sapiens (Human)	160
Q8NI22-1	Q8NI22	MCFD2_HUMAN	reviewed	Multiple coagulation factor deficiency protein 2 (Neural stem cell-derived neuronal survival protein)	MCFD2 SDNSF	Homo sapiens (Human)	146
Q5TYM5-1	Q5TYM5	FA72A_HUMAN	reviewed	Protein FAM72A (Latent membrane protein 1-induced protein) (LMP1-induced protein) (LMPIP)	FAM72A UGENE	Homo sapiens (Human)	149
O95801	O95801	TTC4_HUMAN	reviewed	Tetratricopeptide repeat protein 4 (TPR repeat protein 4)	TTC4 My044	Homo sapiens (Human)	387
A6NEQ0	A6NEQ0	RBY1E_HUMAN	reviewed	RNA-binding motif protein, Y chromosome, family 1 member E	RBMY1E	Homo sapiens (Human)	496
P04908	P04908	H2A1B_HUMAN	reviewed	Histone H2A type 1-B/E (Histone H2A.2) (Histone H2A/a) (Histone H2A/m)	H2AC4 H2AFM HIST1H2AB; H2AC8 H2AFA HIST1H2AE	Homo sapiens (Human)	130
P01112-2	P01112	RASH_HUMAN	reviewed	GTPase HRas (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]	HRAS HRAS1	Homo sapiens (Human)	189
Q9ULU8-2	Q9ULU8	CAPS1_HUMAN	reviewed	Calcium-dependent secretion activator 1 (Calcium-dependent activator protein for secretion 1) (CAPS-1)	CADPS CAPS CAPS1 KIAA1121	Homo sapiens (Human)	1353
A0A5E8	A0A5E8	A0A5E8_HUMAN	unreviewed	GAS2-like protein 1 (Growth arrest-specific 2 like 1, isoform CRA_a) (cDNA FLJ16435 fis, clone BRACE3020671, highly similar to GAS2-like protein 1) (cDNA FLJ36067 fis, clone TESTI2019308, highly similar to GAR22 PROTEIN)	GAS2L1 hCG_41633	Homo sapiens (Human)	681
Q8IX90-1	Q8IX90	SKA3_HUMAN	reviewed	Spindle and kinetochore-associated protein 3	SKA3 C13orf3 RAMA1	Homo sapiens (Human)	412
Q13907-2	Q13907	IDI1_HUMAN	reviewed	Isopentenyl-diphosphate Delta-isomerase 1 (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase 1) (IPP isomerase 1) (IPPI1)	IDI1	Homo sapiens (Human)	227
Q09666-2	Q09666	AHNK_HUMAN	reviewed	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	AHNAK PM227	Homo sapiens (Human)	5890
P48163-1	P48163	MAOX_HUMAN	reviewed	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1)	ME1	Homo sapiens (Human)	572
Q8WUD4	Q8WUD4	CCD12_HUMAN	reviewed	Coiled-coil domain-containing protein 12	CCDC12	Homo sapiens (Human)	166
Q9H2X0-1	Q9H2X0	CHRD_HUMAN	reviewed	Chordin	CHRD UNQ217/PRO243	Homo sapiens (Human)	955
P02747	P02747	C1QC_HUMAN	reviewed	Complement C1q subcomponent subunit C	C1QC C1QG	Homo sapiens (Human)	245
O96009	O96009	NAPSA_HUMAN	reviewed	Napsin-A (EC 3.4.23.-) (Aspartyl protease 4) (ASP4) (Asp 4) (Napsin-1) (TA01/TA02)	NAPSA NAP1 NAPA	Homo sapiens (Human)	420
P61966-1	P61966	AP1S1_HUMAN	reviewed	AP-1 complex subunit sigma-1A (Adaptor protein complex AP-1 subunit sigma-1A) (Adaptor-related protein complex 1 subunit sigma-1A) (Clathrin assembly protein complex 1 sigma-1A small chain) (Clathrin coat assembly protein AP19) (Golgi adaptor HA1/AP1 adaptin sigma-1A subunit) (HA1 19 kDa subunit) (Sigma 1a subunit of AP-1 clathrin) (Sigma-adaptin 1A) (Sigma1A-adaptin)	AP1S1 AP19 CLAPS1	Homo sapiens (Human)	158
A6NNF4-2	A6NNF4	ZN726_HUMAN	reviewed	Zinc finger protein 726	ZNF726	Homo sapiens (Human)	738
Q16558-2	Q16558	KCMB1_HUMAN	reviewed	Calcium-activated potassium channel subunit beta-1 (BK channel subunit beta-1) (BKbeta) (BKbeta1) (Hbeta1) (Calcium-activated potassium channel, subfamily M subunit beta-1) (Calcium-activated potassium channel subunit beta) (Charybdotoxin receptor subunit beta-1) (K(VCA)beta-1) (Maxi K channel subunit beta-1) (Slo-beta-1) (Slo-beta)	KCNMB1	Homo sapiens (Human)	191
A0A087X1G2	A0A087X1G2	TBC3K_HUMAN	reviewed	TBC1 domain family member 3K	TBC1D3K	Homo sapiens (Human)	549
Q5JVF3-1	Q5JVF3	PCID2_HUMAN	reviewed	PCI domain-containing protein 2 (CSN12-like protein)	PCID2 HT004	Homo sapiens (Human)	399
Q9H4M3-2	Q9H4M3	FBX44_HUMAN	reviewed	F-box only protein 44 (F-box protein FBX30) (F-box/G-domain protein 3)	FBXO44 FBG3 FBX30 FBX44 FBX6A FBXO6A	Homo sapiens (Human)	255
B3SHH9	B3SHH9	TM114_HUMAN	reviewed	Transmembrane protein 114	TMEM114	Homo sapiens (Human)	223
Q8IYW5	Q8IYW5	RN168_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF168 (hRNF168) (EC 2.3.2.27) (RING finger protein 168) (RING-type E3 ubiquitin transferase RNF168)	RNF168	Homo sapiens (Human)	571
P31146	P31146	COR1A_HUMAN	reviewed	Coronin-1A (Coronin-like protein A) (Clipin-A) (Coronin-like protein p57) (Tryptophan aspartate-containing coat protein) (TACO)	CORO1A CORO1	Homo sapiens (Human)	461
Q86YW9-1	Q86YW9	MD12L_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 12-like protein (Mediator complex subunit 12-like protein) (Thyroid hormone receptor-associated-like protein) (Trinucleotide repeat-containing gene 11 protein-like)	MED12L KIAA1635 TNRC11L TRALP TRALPUSH PRO0314	Homo sapiens (Human)	2145
Q8WZ74	Q8WZ74	CTTB2_HUMAN	reviewed	Cortactin-binding protein 2 (CortBP2)	CTTNBP2 C7orf8 CORTBP2 KIAA1758	Homo sapiens (Human)	1663
Q13586-1	Q13586	STIM1_HUMAN	reviewed	Stromal interaction molecule 1	STIM1 GOK	Homo sapiens (Human)	685
Q9BZF9-1	Q9BZF9	UACA_HUMAN	reviewed	Uveal autoantigen with coiled-coil domains and ankyrin repeats	UACA KIAA1561	Homo sapiens (Human)	1416
Q7Z5G4-1	Q7Z5G4	GOGA7_HUMAN	reviewed	Golgin subfamily A member 7 (Golgi complex-associated protein of 16 kDa)	GOLGA7 GCP16 HDCKB03P HSPC041	Homo sapiens (Human)	137
Q5U623-1	Q5U623	MCAF2_HUMAN	reviewed	Activating transcription factor 7-interacting protein 2 (ATF7-interacting protein 2) (MBD1-containing chromatin-associated factor 2)	ATF7IP2 MCAF2	Homo sapiens (Human)	682
Q9Y2P0	Q9Y2P0	ZN835_HUMAN	reviewed	Zinc finger protein 835	ZNF835	Homo sapiens (Human)	537
Q92905	Q92905	CSN5_HUMAN	reviewed	COP9 signalosome complex subunit 5 (SGN5) (Signalosome subunit 5) (EC 3.4.-.-) (Jun activation domain-binding protein 1)	COPS5 CSN5 JAB1	Homo sapiens (Human)	334
Q32Q52-1	Q32Q52	CL074_HUMAN	reviewed	Uncharacterized protein C12orf74	C12orf74	Homo sapiens (Human)	190
Q9H1K6	Q9H1K6	TLRN1_HUMAN	reviewed	Talin rod domain-containing protein 1 (Mesoderm development candidate 1)	TLNRD1 MESDC1	Homo sapiens (Human)	362
O14737-1	O14737	PDCD5_HUMAN	reviewed	Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19) (Protein TFAR19)	PDCD5 TFAR19	Homo sapiens (Human)	125
Q8WU79-1	Q8WU79	SMAP2_HUMAN	reviewed	Stromal membrane-associated protein 2 (Stromal membrane-associated protein 1-like)	SMAP2 SMAP1L	Homo sapiens (Human)	429
A5PL33-1	A5PL33	KRBA1_HUMAN	reviewed	Protein KRBA1	KRBA1 KIAA1862	Homo sapiens (Human)	1030
Q8IUZ5-1	Q8IUZ5	AT2L2_HUMAN	reviewed	5-phosphohydroxy-L-lysine phospho-lyase (EC 4.2.3.134) (Alanine--glyoxylate aminotransferase 2-like 2)	PHYKPL AGXT2L2 PP9286	Homo sapiens (Human)	450
Q8IYM9-1	Q8IYM9	TRI22_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM22 (EC 2.3.2.27) (50 kDa-stimulated trans-acting factor) (RING finger protein 94) (RING-type E3 ubiquitin transferase TRIM22) (Staf-50) (Tripartite motif-containing protein 22)	TRIM22 RNF94 STAF50	Homo sapiens (Human)	498
O95202-1	O95202	LETM1_HUMAN	reviewed	Mitochondrial proton/calcium exchanger protein (Leucine zipper-EF-hand-containing transmembrane protein 1)	LETM1	Homo sapiens (Human)	739
Q6ZSG2-1	Q6ZSG2	INSY2_HUMAN	reviewed	Inhibitory synaptic factor 2A (InSyn2)	INSYN2A C10orf141 FAM196A INSYN2	Homo sapiens (Human)	479
Q15937	Q15937	ZNF79_HUMAN	reviewed	Zinc finger protein 79 (ZNFpT7)	ZNF79	Homo sapiens (Human)	498
Q6ZR52-3	Q6ZR52	ZN493_HUMAN	reviewed	Zinc finger protein 493	ZNF493	Homo sapiens (Human)	646
E9PEI4	E9PEI4	E9PEI4_HUMAN	unreviewed	Focal adhesion kinase 1	PTK2	Homo sapiens (Human)	680
P30613-1	P30613	KPYR_HUMAN	reviewed	Pyruvate kinase PKLR (EC 2.7.1.40) (Pyruvate kinase 1) (Pyruvate kinase isozymes L/R) (R-type/L-type pyruvate kinase) (Red cell/liver pyruvate kinase)	PKLR PK1 PKL	Homo sapiens (Human)	574
O43781-2	O43781	DYRK3_HUMAN	reviewed	Dual specificity tyrosine-phosphorylation-regulated kinase 3 (EC 2.7.12.1) (Regulatory erythroid kinase) (REDK)	DYRK3	Homo sapiens (Human)	588
P56856-1	P56856	CLD18_HUMAN	reviewed	Claudin-18	CLDN18 UNQ778/PRO1572	Homo sapiens (Human)	261
Q9UMD9-1	Q9UMD9	COHA1_HUMAN	reviewed	Collagen alpha-1(XVII) chain (180 kDa bullous pemphigoid antigen 2) (Bullous pemphigoid antigen 2) [Cleaved into: 120 kDa linear IgA disease antigen (120 kDa linear IgA dermatosis antigen) (Linear IgA disease antigen 1) (LAD-1); 97 kDa linear IgA disease antigen (97 kDa linear IgA bullous dermatosis antigen) (97 kDa LAD antigen) (97-LAD) (Linear IgA bullous disease antigen of 97 kDa) (LABD97)]	COL17A1 BP180 BPAG2	Homo sapiens (Human)	1497
Q9GZQ8	Q9GZQ8	MLP3B_HUMAN	reviewed	Microtubule-associated proteins 1A/1B light chain 3B (Autophagy-related protein LC3 B) (Autophagy-related ubiquitin-like modifier LC3 B) (MAP1 light chain 3-like protein 2) (MAP1A/MAP1B light chain 3 B) (MAP1A/MAP1B LC3 B) (Microtubule-associated protein 1 light chain 3 beta)	MAP1LC3B MAP1ALC3	Homo sapiens (Human)	125
Q01804-3	Q01804	OTUD4_HUMAN	reviewed	OTU domain-containing protein 4 (EC 3.4.19.12) (HIV-1-induced protein HIN-1)	OTUD4 HIN-1 KIAA1046	Homo sapiens (Human)	1114
Q15306-1	Q15306	IRF4_HUMAN	reviewed	Interferon regulatory factor 4 (IRF-4) (Lymphocyte-specific interferon regulatory factor) (LSIRF) (Multiple myeloma oncogene 1) (NF-EM5)	IRF4 MUM1	Homo sapiens (Human)	451
O75914-2	O75914	PAK3_HUMAN	reviewed	Serine/threonine-protein kinase PAK 3 (EC 2.7.11.1) (Beta-PAK) (Oligophrenin-3) (p21-activated kinase 3) (PAK-3)	PAK3 OPHN3	Homo sapiens (Human)	559
Q96PF2	Q96PF2	TSSK2_HUMAN	reviewed	Testis-specific serine/threonine-protein kinase 2 (TSK-2) (TSK2) (TSSK-2) (Testis-specific kinase 2) (EC 2.7.11.1) (DiGeorge syndrome protein G) (DGS-G) (Serine/threonine-protein kinase 22B)	TSSK2 DGSG SPOGA2 STK22B	Homo sapiens (Human)	358
Q9H773	Q9H773	DCTP1_HUMAN	reviewed	dCTP pyrophosphatase 1 (EC 3.6.1.12) (Deoxycytidine-triphosphatase 1) (dCTPase 1) (RS21C6) (XTP3-transactivated gene A protein)	DCTPP1 XTP3TPA CDA03	Homo sapiens (Human)	170
Q969W8-1	Q969W8	ZN566_HUMAN	reviewed	Zinc finger protein 566	ZNF566	Homo sapiens (Human)	418
P82094-1	P82094	TMF1_HUMAN	reviewed	TATA element modulatory factor (TMF) (Androgen receptor coactivator 160 kDa protein) (Androgen receptor-associated protein of 160 kDa)	TMF1 ARA160	Homo sapiens (Human)	1093
O94993-1	O94993	SOX30_HUMAN	reviewed	Transcription factor SOX-30	SOX30	Homo sapiens (Human)	753
Q9H477-1	Q9H477	RBSK_HUMAN	reviewed	Ribokinase (RK) (EC 2.7.1.15)	RBKS RBSK	Homo sapiens (Human)	322
P29728-2	P29728	OAS2_HUMAN	reviewed	2'-5'-oligoadenylate synthase 2 ((2-5')oligo(A) synthase 2) (2-5A synthase 2) (EC 2.7.7.84) (p69 OAS / p71 OAS) (p69OAS / p71OAS)	OAS2	Homo sapiens (Human)	719
P56211-1	P56211	ARP19_HUMAN	reviewed	cAMP-regulated phosphoprotein 19 (ARPP-19)	ARPP19	Homo sapiens (Human)	112
P10092	P10092	CALCB_HUMAN	reviewed	Calcitonin gene-related peptide 2 (Beta-type CGRP) (Beta-CGRP) (Calcitonin gene-related peptide II) (CGRP-II)	CALCB CALC2	Homo sapiens (Human)	127
P09086-4	P09086	PO2F2_HUMAN	reviewed	POU domain, class 2, transcription factor 2 (Lymphoid-restricted immunoglobulin octamer-binding protein NF-A2) (Octamer-binding protein 2) (Oct-2) (Octamer-binding transcription factor 2) (OTF-2)	POU2F2 OCT2 OTF2	Homo sapiens (Human)	479
Q92989-1	Q92989	CLP1_HUMAN	reviewed	Polyribonucleotide 5'-hydroxyl-kinase Clp1 (EC 2.7.1.78) (Polyadenylation factor Clp1) (Polynucleotide kinase Clp1) (Pre-mRNA cleavage complex II protein Clp1)	CLP1 HEAB	Homo sapiens (Human)	425
P57738	P57738	TCTA_HUMAN	reviewed	T-cell leukemia translocation-altered gene protein (T-cell leukemia translocation-associated gene protein)	TCTA	Homo sapiens (Human)	103
